sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,AES-GCM,1024,5,-1,191020.93,6941.47,188536.96,193504.91,6687966.10,124659.11,6643357.41,6732574.79,10587.67,8983.71,7372.89,13802.44,4339.57,1358.86,3853.31,4825.83,2332,145.11,2.72,144.13,146.08
RSA,AES-GCM,1024,6,-1,248544.00,20225.54,241306.38,255781.62,7940074.80,221829.95,7860693.97,8019455.63,28317.57,16905.20,22268.12,34367.01,11869.93,8025.91,8997.90,14741.97,2588,121.63,3.66,120.32,122.94
RSA,AES-GCM,1024,7,-1,307224.17,34722.81,294798.77,319649.57,9411601.13,305072.34,9302432.40,9520769.87,42971.33,28174.24,32889.31,53053.36,13113.03,6519.49,10780.06,15446.00,2844,102.43,3.69,101.11,103.75
RSA,AES-GCM,1024,8,-1,344969.23,14434.95,339803.75,350134.71,10586663.53,249393.20,10497419.32,10675907.74,29740.90,12388.51,25307.73,34174.07,12925.67,5536.89,10944.32,14907.02,3100,91.17,2.19,90.39,91.96
RSA,ChaCha20-Poly1305,8,1,-1,0.00,0.00,0.00,0.00,1309406.50,62802.78,1286932.81,1331880.19,1185.57,1681.75,583.76,1787.37,0.00,0.00,0.00,0.00,292,764.54,32.27,752.99,776.09
RSA,ChaCha20-Poly1305,8,2,-1,41125.17,5757.96,39064.71,43185.63,2582269.13,73661.69,2555909.64,2608628.63,2529.67,2528.86,1624.73,3434.61,629.00,157.85,572.52,685.48,548,381.03,10.50,377.27,384.79
RSA,ChaCha20-Poly1305,8,3,-1,84606.27,9415.43,81237.00,87975.54,3939888.67,116095.14,3898344.55,3981432.78,6511.73,4350.36,4954.98,8068.49,2127.00,1205.31,1695.68,2558.32,804,248.18,7.59,245.46,250.89
RSA,ChaCha20-Poly1305,8,4,-1,134997.90,20455.59,127677.96,142317.84,5304733.33,164548.39,5245850.45,5363616.22,12888.90,9962.12,9324.00,16453.80,4575.00,2181.21,3794.46,5355.54,1060,183.46,6.27,181.21,185.70
RSA,ChaCha20-Poly1305,8,5,-1,178048.47,16708.82,172069.29,184027.64,6641495.87,155055.61,6586009.93,6696981.80,18515.73,10134.97,14888.98,22142.49,7742.77,4215.24,6234.36,9251.17,1316,146.17,3.78,144.82,147.52
RSA,ChaCha20-Poly1305,8,6,-1,225658.80,19061.68,218837.67,232479.93,7956397.87,161350.22,7898659.43,8014136.30,26450.37,16884.94,20408.17,32492.57,10484.53,4009.35,9049.80,11919.26,1572,121.73,2.82,120.72,122.74
RSA,ChaCha20-Poly1305,8,7,-1,261941.07,31276.50,250748.91,273133.22,9215598.03,1060188.48,8836214.46,9594981.61,18093.03,5349.48,16178.75,20007.32,10102.63,1998.07,9387.63,10817.63,1828,106.11,8.25,103.16,109.06
RSA,ChaCha20-Poly1305,8,8,-1,515499.13,22681.62,507382.62,523615.65,17011683.03,216645.61,16934157.40,17089208.67,65822.87,22235.24,57866.09,73779.65,30187.77,8802.76,27037.74,33337.79,2084,56.75,0.75,56.49,57.02
RSA,ChaCha20-Poly1305,16,1,-1,0.00,0.00,0.00,0.00,2146625.07,97623.12,2111691.08,2181559.05,2664.43,2804.40,1660.89,3667.97,0.00,0.00,0.00,0.00,300,466.18,20.27,458.93,473.43
RSA,ChaCha20-Poly1305,16,2,-1,70198.77,11198.43,66191.46,74206.07,4273606.00,174112.91,4211300.50,4335911.50,6621.53,5344.37,4709.08,8533.99,1674.57,1546.69,1121.09,2228.04,556,230.16,9.43,226.79,233.53
RSA,ChaCha20-Poly1305,16,3,-1,131300.93,10040.23,127708.08,134893.78,6301267.80,103243.28,6264322.67,6338212.93,9261.03,7801.22,6469.40,12052.67,2788.23,857.91,2481.23,3095.23,812,155.22,2.76,154.23,156.20
RSA,ChaCha20-Poly1305,16,4,-1,205312.27,16860.31,199278.88,211345.65,8419798.60,158125.54,8363214.10,8476383.10,16087.70,8191.66,13156.35,19019.05,7103.13,3681.91,5785.58,8420.69,1068,115.68,2.38,114.83,116.53
RSA,ChaCha20-Poly1305,16,5,-1,194331.83,49385.84,176659.34,212004.33,7112068.50,1662212.91,6517253.25,7706883.75,20368.37,16146.97,14590.25,26146.49,7008.03,3168.21,5874.30,8141.76,1324,141.82,24.30,133.13,150.52
RSA,ChaCha20-Poly1305,16,6,-1,212056.93,18224.01,205535.56,218578.31,7610564.40,139480.45,7560651.96,7660476.84,17413.77,6433.85,15111.44,19716.09,8337.90,2953.78,7280.90,9394.90,1580,127.46,2.51,126.57,128.36
RSA,ChaCha20-Poly1305,16,7,-1,265563.27,23984.51,256980.52,274146.01,9150583.40,260287.32,9057440.78,9243726.02,19431.10,7358.20,16798.00,22064.20,10466.70,2767.45,9476.38,11457.02,1836,105.96,3.13,104.84,107.08
RSA,ChaCha20-Poly1305,16,8,-1,322086.83,30713.98,311095.98,333077.69,10616850.63,314550.85,10504290.06,10729411.21,33430.20,13258.89,28685.57,38174.83,17331.20,9716.28,13854.27,20808.13,2092,91.09,2.93,90.04,92.13
RSA,ChaCha20-Poly1305,32,1,-1,0.00,0.00,0.00,0.00,1357823.23,81504.95,1328657.06,1386989.41,2010.80,2107.75,1256.55,2765.05,0.00,0.00,0.00,0.00,316,737.79,40.90,723.15,752.43
RSA,ChaCha20-Poly1305,32,2,-1,42496.10,8618.26,39412.09,45580.11,2553585.73,104199.20,2516298.53,2590872.94,5059.10,4256.18,3536.05,6582.15,1118.90,1139.09,711.28,1526.52,572,384.93,15.48,379.39,390.47
RSA,ChaCha20-Poly1305,32,3,-1,85231.93,10191.67,81584.89,88878.98,3953149.13,110315.43,3913673.26,3992625.00,10297.90,11802.68,6074.37,14521.43,2042.97,1103.72,1648.01,2437.93,828,247.10,7.59,244.38,249.81
RSA,ChaCha20-Poly1305,32,4,-1,137829.23,22551.97,129759.11,145899.35,5385766.93,154455.98,5330495.57,5441038.30,10778.60,6273.05,8533.82,13023.38,4351.00,1876.84,3679.38,5022.62,1084,180.73,5.77,178.67,182.79
RSA,ChaCha20-Poly1305,32,5,-1,178912.47,16977.47,172837.16,184987.77,6701737.13,126800.19,6656362.27,6747112.00,13264.67,8322.72,10286.42,16242.91,6630.80,3745.02,5290.66,7970.94,1340,144.98,3.03,143.90,146.06
RSA,ChaCha20-Poly1305,32,6,-1,218849.57,12104.57,214518.00,223181.13,7965005.50,156007.22,7909179.03,8020831.97,16463.93,9102.31,13206.71,19721.15,8686.07,4905.26,6930.74,10441.39,1596,121.87,2.54,120.96,122.78
RSA,ChaCha20-Poly1305,32,7,-1,282913.70,22866.24,274731.12,291096.28,9480442.10,149006.66,9427120.75,9533763.45,29216.50,11524.56,25092.49,33340.51,13629.40,4830.89,11900.69,15358.11,1852,102.01,1.86,101.34,102.67
