sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,AES-GCM,64,3,-1,210196.57,130031.73,163665.31,256727.82,2031279.50,248346.10,1942409.99,2120149.01,148859.07,120512.37,105734.27,191983.86,53303.13,32900.81,41529.73,65076.54,860,422.84,71.04,397.42,448.26
RSA,AES-GCM,64,4,-1,285761.47,206175.02,211982.68,359540.25,2667543.70,294733.50,2562074.67,2773012.73,182941.50,127606.50,137278.10,228604.90,83334.30,59417.68,62071.96,104596.64,1116,318.65,47.04,301.82,335.49
RSA,AES-GCM,64,5,-1,347349.50,172307.97,285689.89,409009.11,3284268.17,364468.06,3153844.95,3414691.39,200894.03,118740.43,158403.32,243384.75,90746.73,37555.41,77307.70,104185.76,1372,260.52,35.77,247.73,273.32
RSA,AES-GCM,64,6,-1,387901.47,170374.41,326933.77,448869.17,3833682.67,347863.77,3709201.21,3958164.12,201980.30,115222.16,160748.58,243212.02,104726.83,43055.19,89319.73,120133.93,1628,224.03,24.80,215.16,232.91
RSA,AES-GCM,64,7,-1,413542.67,136442.98,364717.17,462368.16,4363762.60,337620.87,4242946.52,4484578.68,200207.87,68104.96,175836.82,224578.91,109515.17,13687.69,104617.09,114413.24,1884,198.12,15.73,192.50,203.75
RSA,AES-GCM,64,8,-1,567716.30,191134.77,499319.60,636113.00,5114257.40,456171.85,4951018.40,5277496.40,294549.97,153840.54,239498.84,349601.10,151849.87,40496.60,137358.34,166341.39,2140,165.32,17.77,158.96,171.68
RSA,AES-GCM,128,1,-1,0.00,0.00,0.00,0.00,845710.37,270925.31,748760.99,942659.75,64668.80,52887.21,45743.35,83594.25,0.00,0.00,0.00,0.00,412,1193.75,309.39,1083.03,1304.46
RSA,AES-GCM,128,2,-1,151764.73,104326.27,114432.06,189097.41,2081502.97,311663.59,1969975.58,2193030.35,163259.47,143026.80,112077.98,214440.95,41421.40,23358.43,33062.69,49780.11,668,425.83,76.32,398.52,453.14
RSA,AES-GCM,128,3,-1,268923.10,137424.55,219746.36,318099.84,3028772.50,352751.80,2902541.89,3155003.11,176249.20,90500.28,143864.09,208634.31,71022.30,25529.86,61886.56,80158.04,924,287.71,37.32,274.35,301.07
RSA,AES-GCM,128,4,-1,374177.13,114849.63,333078.72,415275.54,4024499.80,377890.90,3889273.28,4159726.32,257097.70,142133.45,206235.90,307959.50,106640.47,40864.95,92017.13,121263.80,1180,213.08,25.20,204.06,222.09
RSA,AES-GCM,128,5,-1,499917.60,189788.59,432002.63,567832.57,4945082.50,376786.25,4810251.27,5079913.73,300911.63,196381.01,230637.59,371185.67,137689.07,55078.65,117979.42,157398.71,1436,172.20,18.35,165.63,178.76
RSA,AES-GCM,128,6,-1,560194.77,173173.92,498225.28,622164.26,5809897.53,340736.19,5687966.65,5931828.41,301516.30,132230.63,254198.18,348834.42,155709.50,41655.20,140803.38,170615.62,1692,147.49,11.75,143.28,151.69
RSA,AES-GCM,128,7,-1,671526.43,163295.79,613091.79,729961.08,6736242.33,342041.94,6613844.20,6858640.47,331805.33,85820.68,301094.80,362515.87,181850.63,22346.32,173854.11,189847.16,1948,126.75,7.81,123.96,129.55
RSA,AES-GCM,128,8,-1,872047.17,210724.50,796640.37,947453.96,7933604.57,531770.62,7743312.90,8123896.24,466698.20,179829.31,402347.11,531049.29,250692.17,73743.35,224303.45,277080.89,2204,105.88,10.05,102.29,109.48
RSA,AES-GCM,256,1,-1,0.00,0.00,0.00,0.00,629184.67,118884.89,586642.25,671727.08,41871.93,42378.88,26706.84,57037.02,0.00,0.00,0.00,0.00,540,1543.46,254.66,1452.33,1634.58
RSA,AES-GCM,256,2,-1,113056.97,85976.13,82290.81,143823.13,1347488.77,337184.38,1226828.89,1468148.65,128761.90,127051.84,83296.98,174226.82,27525.80,19039.53,20712.59,34339.01,796,667.06,166.56,607.46,726.66
RSA,AES-GCM,256,3,-1,177224.17,101050.41,141063.74,213384.59,1916433.43,337113.51,1795798.91,2037067.95,134863.13,101507.36,98539.19,171187.07,44776.77,19528.96,37788.42,51765.11,1052,456.13,77.79,428.30,483.97
RSA,AES-GCM,256,4,-1,304539.53,294480.24,199161.13,409917.93,2565101.33,356322.53,2437592.95,2692609.71,182923.50,200193.51,111285.17,254561.83,75769.03,48517.13,58407.40,93130.66,1308,334.36,57.08,313.93,354.79
RSA,AES-GCM,256,5,-1,335244.37,128304.02,289331.36,381157.37,3249940.33,333317.26,3130664.29,3369216.38,198909.13,122445.20,155092.68,242725.59,99097.93,44025.58,83343.58,114852.28,1564,262.38,33.41,250.42,274.33
RSA,AES-GCM,256,6,-1,354070.57,110784.13,314426.98,393714.16,3726846.13,281702.63,3626040.14,3827652.12,175104.13,61201.35,153203.51,197004.76,99124.23,28521.72,88917.87,109330.60,1820,231.64,20.13,224.44,238.84
RSA,AES-GCM,256,7,-1,476122.63,164464.32,417269.83,534975.44,4479063.57,322161.49,4363779.56,4594347.58,240219.87,101823.82,203782.68,276657.05,128916.83,29779.54,118260.36,139573.30,2076,189.70,18.32,183.14,196.26
RSA,AES-GCM,256,8,-1,609244.63,237226.77,524354.12,694135.14,5154176.43,352216.44,5028137.40,5280215.47,309803.90,168646.89,249454.39,370153.41,169186.07,62372.85,146866.23,191505.91,2332,162.14,17.02,156.05,168.23
