sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,AES-GCM,32,8,-1,251589.40,39334.44,237513.75,265665.05,4989030.83,234328.91,4905177.31,5072884.36,65256.63,21961.49,57397.82,73115.45,16317.97,2717.68,15345.46,17290.47,2108,188.36,9.38,185.00,191.72
RSA,AES-GCM,64,1,-1,0.00,0.00,0.00,0.00,631908.43,125943.09,586840.28,676976.59,9437.37,8071.46,6549.03,12325.70,0.00,0.00,0.00,0.00,348,1593.41,181.01,1528.64,1658.18
RSA,AES-GCM,64,2,-1,42673.43,24551.55,33887.77,51459.09,1270717.10,159717.42,1213562.96,1327871.24,19726.73,13047.36,15057.80,24395.67,2439.90,1175.07,2019.41,2860.39,604,758.07,75.75,730.97,785.18
RSA,AES-GCM,64,3,-1,81422.13,27078.39,71732.26,91112.01,1915171.53,151584.77,1860927.62,1969415.45,27238.10,12962.35,22599.58,31876.62,4845.87,1863.42,4179.05,5512.68,860,496.19,39.82,481.94,510.44
RSA,AES-GCM,64,4,-1,115327.90,30715.93,104336.34,126319.46,2547225.77,174112.89,2484920.27,2609531.27,37129.17,17053.59,31026.62,43231.71,7686.83,3693.98,6364.96,9008.71,1116,371.10,24.88,362.19,380.00
RSA,AES-GCM,64,5,-1,158759.60,43296.87,143266.01,174253.19,3184909.40,222386.05,3105329.57,3264489.23,46539.07,20138.13,39332.73,53745.40,9903.80,2861.04,8879.99,10927.61,1372,295.63,20.95,288.14,303.13
RSA,AES-GCM,64,6,-1,199922.37,46917.62,183133.11,216711.62,3847694.50,289700.09,3744026.65,3951362.35,59041.17,23467.10,50643.57,67438.76,12450.90,2641.68,11505.59,13396.21,1628,244.32,19.09,237.49,251.16
RSA,AES-GCM,64,7,-1,235347.60,55836.59,215366.73,255328.47,4457349.07,318763.83,4343280.90,4571417.24,66011.80,26675.07,56466.25,75557.35,14831.77,2774.42,13838.95,15824.58,1884,210.59,15.03,205.21,215.96
RSA,AES-GCM,64,8,-1,262249.63,51760.97,243727.21,280772.06,5009962.03,306558.84,4900261.36,5119662.71,71929.63,33146.05,60068.47,83790.79,16581.17,3061.56,15485.60,17676.73,2140,187.28,11.58,183.14,191.42
RSA,AES-GCM,128,1,-1,0.00,0.00,0.00,0.00,617127.77,75125.13,590244.58,644010.95,6871.87,3123.69,5754.07,7989.66,0.00,0.00,0.00,0.00,412,1617.35,127.30,1571.80,1662.90
RSA,AES-GCM,128,2,-1,33119.83,9922.42,29569.14,36670.53,1220296.03,117350.21,1178302.80,1262289.26,12768.47,4540.90,11143.53,14393.41,2078.67,736.39,1815.15,2342.18,668,793.96,59.72,772.59,815.34
RSA,AES-GCM,128,3,-1,62434.63,3014.56,61355.89,63513.38,1825057.80,121350.84,1781632.96,1868482.64,18147.27,3875.25,16760.53,19534.01,3676.17,175.55,3613.35,3738.98,924,525.52,28.86,515.19,535.85
RSA,AES-GCM,128,4,-1,93589.93,2733.43,92611.79,94568.08,2432647.40,142334.05,2381713.81,2483580.99,24233.97,4408.51,22656.40,25811.53,5566.03,125.71,5521.05,5611.02,1180,392.30,19.77,385.22,399.37
RSA,AES-GCM,128,5,-1,152620.80,44841.76,136574.38,168667.22,3095092.60,177928.99,3031421.53,3158763.67,48145.40,33292.97,36231.67,60059.13,9495.53,2841.94,8478.56,10512.51,1436,303.79,19.17,296.93,310.65
RSA,AES-GCM,128,6,-1,201981.30,63336.70,179316.55,224646.05,3780012.53,203701.85,3707118.76,3852906.30,59934.70,34349.75,47642.80,72226.60,12616.07,4188.95,11117.07,14115.06,1692,247.57,15.29,242.10,253.04
RSA,AES-GCM,128,7,-1,235088.53,53660.32,215886.44,254290.63,4402926.27,251053.16,4313088.05,4492764.49,64169.93,29202.54,53719.94,74619.93,14887.13,3478.89,13642.23,16132.04,1948,212.80,12.58,208.29,217.30
RSA,AES-GCM,128,8,-1,267945.77,47342.25,251004.56,284886.97,5027466.37,242446.94,4940707.84,5114224.89,74944.73,25919.79,65669.46,84220.01,17555.60,3186.27,16415.41,18695.79,2204,186.03,8.77,182.89,189.16
RSA,AES-GCM,256,1,-1,0.00,0.00,0.00,0.00,654681.97,108545.14,615839.59,693524.35,9576.20,7518.00,6885.92,12266.48,0.00,0.00,0.00,0.00,540,1536.04,191.12,1467.65,1604.43
RSA,AES-GCM,256,2,-1,38862.50,17960.77,32435.32,45289.68,1283775.43,148088.03,1230782.81,1336768.06,18278.17,11865.43,14032.18,22524.15,2498.40,1199.35,2069.22,2927.58,796,753.33,75.06,726.47,780.19
RSA,AES-GCM,256,3,-1,76290.27,21571.79,68570.90,84009.63,1917278.07,183131.60,1851745.26,1982810.87,29307.10,17159.10,23166.79,35447.41,4607.67,1137.88,4200.48,5014.85,1052,497.30,42.39,482.13,512.47
RSA,AES-GCM,256,4,-1,118662.03,34204.62,106422.07,130902.00,2534208.13,170534.85,2473183.02,2595233.25,37595.10,22264.96,29627.69,45562.51,7717.90,4193.37,6217.32,9218.48,1308,372.42,25.35,363.34,381.49
RSA,AES-GCM,256,5,-1,140918.23,23947.90,132348.59,149487.88,3151111.23,226545.72,3070042.89,3232179.58,38173.43,18255.62,31640.74,44706.12,8949.43,2020.64,8226.36,9672.51,1564,300.86,19.50,293.88,307.84
